"scientific_name","timePeriod","n_grids"
"Acridotheres ginginianus","2016",252
"Acridotheres ginginianus","2017",341
"Acridotheres ginginianus","2018",418
"Acridotheres ginginianus","2019",482
"Acridotheres ginginianus","2020",478
"Acridotheres ginginianus","2021",517
"Acridotheres ginginianus","2022",466
"Acridotheres ginginianus","pre2000",47
"Acridotheres grandis","2000-2006",7
"Acridotheres grandis","2007-2010",6
"Acridotheres grandis","2011-2012",7
"Acridotheres grandis","2013",14
"Acridotheres grandis","2014",21
"Acridotheres grandis","2015",30
"Acridotheres grandis","2016",33
"Acridotheres grandis","2017",34
"Acridotheres grandis","2018",51
"Acridotheres grandis","2019",58
"Acridotheres grandis","2020",51
"Acridotheres grandis","2021",83
"Acridotheres grandis","2022",73
"Acridotheres grandis","pre2000",2
"Acridotheres tristis","2000-2006",202
"Acridotheres tristis","2007-2010",300
"Acridotheres tristis","2011-2012",351
"Acridotheres tristis","2013",380
"Acridotheres tristis","2014",794
"Acridotheres tristis","2015",1069
"Acridotheres tristis","2016",1263
"Acridotheres tristis","2017",1606
"Acridotheres tristis","2018",1820
"Acridotheres tristis","2019",2050
"Acridotheres tristis","2020",1975
"Acridotheres tristis","2021",2322
"Acridotheres tristis","2022",2262
"Acridotheres tristis","pre2000",258
"Acrocephalus agricola","2000-2006",7
"Acrocephalus agricola","2007-2010",40
"Acrocephalus agricola","2011-2012",43
"Acrocephalus agricola","2013",37
"Acrocephalus agricola","2014",68
"Acrocephalus agricola","2015",91
"Acrocephalus agricola","2016",132
"Acrocephalus agricola","2017",153
"Acrocephalus agricola","2018",171
"Acrocephalus agricola","2019",196
"Acrocephalus agricola","2020",248
"Acrocephalus agricola","2021",286
"Acrocephalus agricola","2022",185
"Acrocephalus agricola","pre2000",10
"Acrocephalus bistrigiceps","2007-2010",1
"Acrocephalus bistrigiceps","2011-2012",1
"Acrocephalus bistrigiceps","2014",4
"Acrocephalus bistrigiceps","2015",2
"Acrocephalus bistrigiceps","2016",3
"Acrocephalus bistrigiceps","2017",2
"Acrocephalus bistrigiceps","2018",5
"Acrocephalus bistrigiceps","2019",8
"Acrocephalus bistrigiceps","2020",10
"Acrocephalus bistrigiceps","2021",9
"Acrocephalus bistrigiceps","2022",5
"Acrocephalus concinens","2007-2010",1
"Acrocephalus concinens","2011-2012",1
"Acrocephalus concinens","2014",3
"Acrocephalus concinens","2015",4
"Acrocephalus concinens","2016",2
"Acrocephalus concinens","2017",4
"Acrocephalus concinens","2018",2
"Acrocephalus concinens","2019",1
"Acrocephalus concinens","2020",2
"Acrocephalus concinens","2021",5
"Acrocephalus concinens","2022",5
"Acrocephalus dumetorum","2000-2006",94
"Acrocephalus dumetorum","2007-2010",160
"Acrocephalus dumetorum","2011-2012",164
"Acrocephalus dumetorum","2013",148
"Acrocephalus dumetorum","2014",290
"Acrocephalus dumetorum","2015",395
"Acrocephalus dumetorum","2016",505
"Acrocephalus dumetorum","2017",617
"Acrocephalus dumetorum","2018",709
"Acrocephalus dumetorum","2019",794
"Acrocephalus dumetorum","2020",888
"Acrocephalus dumetorum","2021",980
"Acrocephalus dumetorum","2022",849
"Acrocephalus dumetorum","pre2000",89
"Acrocephalus melanopogon","2000-2006",3
"Acrocephalus melanopogon","2007-2010",1
"Acrocephalus melanopogon","2011-2012",4
"Acrocephalus melanopogon","2013",3
"Acrocephalus melanopogon","2014",4
"Acrocephalus melanopogon","2015",9
"Acrocephalus melanopogon","2016",13
"Acrocephalus melanopogon","2017",10
"Acrocephalus melanopogon","2018",15
"Acrocephalus melanopogon","2019",33
"Acrocephalus melanopogon","2020",28
"Acrocephalus melanopogon","2021",20
"Acrocephalus melanopogon","2022",18
"Acrocephalus melanopogon","pre2000",4
"Acrocephalus orientalis","2007-2010",1
"Acrocephalus orientalis","2011-2012",1
"Acrocephalus orientalis","2013",2
"Acrocephalus orientalis","2014",1
"Acrocephalus orientalis","2015",1
"Acrocephalus orientalis","2016",1
"Acrocephalus orientalis","2017",4
"Acrocephalus orientalis","2018",3
"Acrocephalus orientalis","2019",7
"Acrocephalus orientalis","2020",6
"Acrocephalus orientalis","2021",5
"Acrocephalus orientalis","2022",2
"Acrocephalus orinus","2017",2
"Acrocephalus stentoreus","2000-2006",27
"Acrocephalus stentoreus","2007-2010",61
"Acrocephalus stentoreus","2011-2012",63
"Acrocephalus stentoreus","2013",76
"Acrocephalus stentoreus","2014",157
"Acrocephalus stentoreus","2015",213
"Acrocephalus stentoreus","2016",304
"Acrocephalus stentoreus","2017",364
"Acrocephalus stentoreus","2018",419
"Acrocephalus stentoreus","2019",476
"Acrocephalus stentoreus","2020",542
"Acrocephalus stentoreus","2021",588
"Acrocephalus stentoreus","2022",469
"Acrocephalus stentoreus","pre2000",37
"Actinodura cyanouroptera","2000-2006",13
"Actinodura cyanouroptera","2007-2010",21
"Actinodura cyanouroptera","2011-2012",20
"Actinodura cyanouroptera","2013",19
"Actinodura cyanouroptera","2014",24
"Actinodura cyanouroptera","2015",43
"Actinodura cyanouroptera","2016",50
"Actinodura cyanouroptera","2017",56
"Actinodura cyanouroptera","2018",68
