"scientific_name","n_grids"
"Cyornis nicobaricus",3
"Cyornis pallidipes",155
"Cyornis poliogenys",134
"Cyornis rubeculoides",517
"Cyornis tickelliae",1221
"Cyornis unicolor",91
"Cypsiurus balasiensis",1878
"Delichon nipalense",137
"Delichon urbicum",242
"Dendrocitta bayleii",22
"Dendrocitta formosae",360
"Dendrocitta frontalis",45
"Dendrocitta leucogastra",109
"Dendrocitta vagabunda",2836
"Dendrocopos darjellensis",40
"Dendrocopos himalayensis",155
"Dendrocopos hyperythrus",85
"Dendrocopos macei",449
"Dendrocoptes auriceps",154
"Dendrocygna bicolor",178
"Dendrocygna javanica",2314
"Dendronanthus indicus",497
"Dicaeum agile",1087
"Dicaeum chrysorrheum",68
"Dicaeum concolor",247
"Dicaeum cruentatum",192
"Dicaeum erythrorhynchos",1385
"Dicaeum ignipectus",212
"Dicaeum minullum",164
"Dicaeum virescens",22
"Dicrurus aeneus",708
"Dicrurus andamanensis",24
"Dicrurus caerulescens",1160
"Dicrurus hottentottus",704
"Dicrurus leucophaeus",1909
"Dicrurus macrocercus",3907
"Dicrurus paradiseus",845
"Dicrurus remifer",220
"Dinopium benghalense",2082
"Dinopium javanense",99
"Dinopium shorii",45
"Dryocopus hodgei",24
"Dryocopus javensis",133
"Ducula aenea",340
"Ducula badia",265
"Ducula nicobarica",11
"Dumetia atriceps",150
"Dumetia hyperythra",888
"Egretta garzetta",3309
"Egretta gularis",470
"Elachura formosa",65
"Elanus caeruleus",3054
"Emberiza bruniceps",589
"Emberiza buchanani",578
"Emberiza cia",275
"Emberiza fucata",116
"Emberiza lathami",660
"Emberiza melanocephala",555
"Emberiza pusilla",119
"Emberiza stewarti",284
"Emberiza striolata",149
"Enicurus immaculatus",138
"Enicurus maculatus",245
"Enicurus schistaceus",131
"Enicurus scouleri",186
"Ephippiorhynchus asiaticus",275
"Eremophila alpestris",119
"Eremopterix griseus",2139
"Erpornis zantholeuca",138
"Erythrogenys erythrogenys",146
"Erythrogenys mcclellandi",42
"Esacus recurvirostris",489
"Eudynamys scolopaceus",3242
"Eumyias albicaudatus",60
"Eumyias thalassinus",1310
"Euodice malabarica",2407
"Eurystomus orientalis",214
"Falco amurensis",341
"Falco chicquera",680
"Falco jugger",192
"Falco peregrinus",1241
"Falco severus",51
"Falco subbuteo",431
"Falco tinnunculus",2319
"Ficedula hodgsoni",66
"Ficedula hyperythra",120
"Ficedula nigrorufa",44
"Ficedula parva",1200
"Ficedula ruficauda",238
"Ficedula sapphira",61
"Ficedula strophiata",217
"Ficedula subrubra",37
"Ficedula superciliaris",570
"Ficedula tricolor",250
"Ficedula westermanni",189
"Francolinus francolinus",489
"Francolinus pictus",547
"Fulica atra",2239
"Fulvetta ludlowi",15
"Galerida cristata",545
"Galerida deva",378
"Galerida malabarica",254
"Gallicrex cinerea",473
"Gallinago gallinago",1244
"Gallinago stenura",400
"Gallinula chloropus",2065
"Galloperdix lunulata",306
"Galloperdix spadicea",490
"Gallus gallus",550
