"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Great Crested Grebe","Podiceps cristatus","X","X","None","","","Diurnal","24 hour","X"
"Black-necked Grebe","Podiceps nigricollis","","","None","","","24 hour","24 hour",""
"Rock Pigeon","Columba livia","X","X","None","","","Diurnal","Diurnal","X"
"Hill Pigeon","Columba rupestris","","X","None","","","Diurnal","Diurnal","X"
"Snow Pigeon","Columba leuconota","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-eyed Pigeon","Columba eversmanni","","","None","X","","Diurnal","Diurnal","X"
"Common Wood Pigeon","Columba palumbus","","","None","","","Diurnal","Diurnal",""
"Speckled Wood Pigeon","Columba hodgsonii","","X","None","","","Diurnal","Diurnal","X"
"Ashy Wood Pigeon","Columba pulchricollis","","","None","X","","Diurnal","Diurnal","X"
"Nilgiri Wood Pigeon","Columba elphinstonii","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Pale-capped Pigeon","Columba punicea","","","None","X","","Diurnal","Diurnal","X"
"Andaman Wood Pigeon","Columba palumboides","","X","Andaman and Nicobar Islands","","","Diurnal","Diurnal","X"
"European Turtle Dove","Streptopelia turtur","","","None","","X","Diurnal","Diurnal",""
"Oriental Turtle Dove","Streptopelia orientalis","X","X","None","","","Diurnal","Diurnal","X"
"Eurasian Collared Dove","Streptopelia decaocto","X","X","None","","","Diurnal","Diurnal","X"
"Red Collared Dove","Streptopelia tranquebarica","X","X","None","","","Diurnal","Diurnal","X"
"Spotted Dove","Streptopelia chinensis","X","X","None","","","Diurnal","Diurnal","X"
"Laughing Dove","Streptopelia senegalensis","X","X","None","","","Diurnal","Diurnal","X"
"Barred Cuckoo Dove","Macropygia unchall","","X","None","","","Diurnal","Diurnal","X"
"Andaman Cuckoo Dove","Macropygia rufipennis","","X","Andaman and Nicobar Islands","","","Diurnal","Diurnal","X"
"Namaqua Dove","Oena capensis","","","None","","","Diurnal","Diurnal",""
"Asian Emerald Dove","Chalcophaps indica","X","X","None","","","Diurnal","Diurnal","X"
"Nicobar Pigeon","Caloenas nicobarica","","","None","","","Diurnal","Diurnal",""
"Orange-breasted Green Pigeon","Treron bicinctus","","X","None","","","Diurnal","Diurnal","X"
"Grey-fronted Green Pigeon","Treron affinis","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Andaman Green Pigeon","Treron chloropterus","","X","Andaman and Nicobar Islands","","","Diurnal","Diurnal","X"
"Ashy-headed Green Pigeon","Treron phayrei","","X","None","","","Diurnal","Diurnal","X"
"Thick-billed Green Pigeon","Treron curvirostra","","X","None","","","Diurnal","Diurnal","X"
"Yellow-footed Green Pigeon","Treron phoenicopterus","X","X","None","","","Diurnal","Diurnal","X"
"Pin-tailed Green Pigeon","Treron apicauda","X","X","None","","","Diurnal","Diurnal","X"
"Wedge-tailed Green Pigeon","Treron sphenurus","X","X","None","","","Diurnal","Diurnal","X"
"Green Imperial Pigeon","Ducula aenea","X","X","None","","","Diurnal","Diurnal","X"
"Nicobar Imperial Pigeon","Ducula nicobarica","","","Nicobar Islands","","","Diurnal","Diurnal","X"
"Mountain Imperial Pigeon","Ducula badia","X","X","None","","","Diurnal","Diurnal","X"
"Pied Imperial Pigeon","Ducula bicolor","","","None","","","Diurnal","Diurnal",""
