eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Red-naped Ibis,Pseudibis papillosa,renibi1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Least Concern,Schedule-IV,,,Low,Strong Increase,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,None,Resident,,,Red-naped Ibis,Pseudibis papillosa
Eurasian Spoonbill,Platalea leucorodia,eurspo1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Least Concern,Schedule-I,,Appendix II,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Resident & Winter Migrant,,,Eurasian Spoonbill,Platalea leucorodia
Osprey,Pandion haliaetus,osprey,Accipitriformes,Pandionidae (Osprey),Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant,,,Osprey,Pandion haliaetus
Black-winged Kite,Elanus caeruleus,bkskit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Resident,,,Black-winged Kite,Elanus caeruleus
Bearded Vulture,Gypaetus barbatus,lammer1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-I,Appendix II,Appendix II,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Altitudinal Migrant,,,Bearded Vulture,Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus,egyvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Endangered,Schedule-IV,Appendix II,Appendix I,High,Moderate Decline,Strong Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland and Scrub,Resident,,,Egyptian Vulture,Neophron percnopterus
European Honey-buzzard,Pernis apivorus,euhbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,,,European Honey Buzzard,Pernis apivorus
Oriental Honey-buzzard,Pernis ptilorhynchus,orihob2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wooded Habitat,Resident & Winter Migrant,,,Oriental Honey Buzzard,Pernis ptilorhynchus
Jerdon's Baza,Aviceda jerdoni,jerbaz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,1,,Jerdon's Baza,Aviceda jerdoni
Black Baza,Aviceda leuphotes,blabaz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Local Migrant,,,Black Baza,Aviceda leuphotes
Red-headed Vulture,Sarcogyps calvus,rehvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Critically Endangered,Schedule-IV,Appendix II,Appendix I,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,1,,Red-headed Vulture,Sarcogyps calvus
Cinereous Vulture,Aegypius monachus,cinvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-IV,Appendix II,Appendix I,Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland and Scrub,Winter Migrant,1,,Cinereous Vulture,Aegypius monachus
White-rumped Vulture,Gyps bengalensis,whrvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Critically Endangered,Schedule-I,Appendix II,Appendix I,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,1,,White-rumped Vulture,Gyps bengalensis
Indian Vulture,Gyps indicus,indvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Critically Endangered,Schedule-I,Appendix II,Appendix I,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,1,,Indian Vulture,Gyps indicus
Slender-billed Vulture,Gyps tenuirostris,slbvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Critically Endangered,Schedule-I,Appendix II,Appendix I,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Resident,1,,Slender-billed Vulture,Gyps tenuirostris
Himalayan Griffon,Gyps himalayensis,himgri1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-IV,Appendix II,Appendix II,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Winter Migrant,1,,Himalayan Vulture,Gyps himalayensis
Eurasian Griffon,Gyps fulvus,eurgri1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-IV,Appendix II,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland,Winter Migrant,,,Griffon Vulture,Gyps fulvus
Nicobar Serpent-Eagle,Spilornis klossi,nicsee1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-I,Appendix II,Appendix II,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Nicobar Islands,Tropical Forest,Resident,,,Nicobar Serpent Eagle,Spilornis klossi
Crested Serpent-Eagle,Spilornis cheela,crseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,,,Crested Serpent Eagle,Spilornis cheela
Andaman Serpent-Eagle,Spilornis elgini,anseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vulnerable,Schedule-I,Appendix II,Appendix II,High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Andaman Islands,Tropical Forest,Resident,,,Andaman Serpent Eagle,Spilornis elgini
Short-toed Snake-Eagle,Circaetus gallicus,shteag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland and Scrub,Resident,,,Short-toed Snake Eagle,Circaetus gallicus
Changeable Hawk-Eagle,Nisaetus cirrhatus,y00839,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,,,Changeable Hawk Eagle,Nisaetus cirrhatus
Mountain Hawk-Eagle,Nisaetus nipalensis,mouhae1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,,,Mountain Hawk Eagle,Nisaetus nipalensis
Legge's Hawk-Eagle,Nisaetus kelaarti,mouhae2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Not Evaluated,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,Yes,No,Western Ghats & Sri Lanka,Tropical Forest,Resident,,,Legge's Hawk Eagle,Nisaetus kelaarti
Rufous-bellied Eagle,Lophotriorchis kienerii,rubeag2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-I,Appendix II,Appendix II,Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,,,Rufous-bellied Eagle,Lophotriorchis kienerii
Black Eagle,Ictinaetus malaiensis,blaeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,,,Black Eagle,Ictinaetus malaiensis
Indian Spotted Eagle,Clanga hastata,inseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vulnerable,Schedule-I,Appendix II,Appendix II,Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Resident,,,Indian Spotted Eagle,Clanga hastata
Greater Spotted Eagle,Clanga clanga,grseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vulnerable,Schedule-I,Appendix II,Appendix I,Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Winter Migrant,,,Greater Spotted Eagle,Clanga clanga
Booted Eagle,Hieraaetus pennatus,booeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Winter Migrant,,,Booted Eagle,Hieraaetus pennatus
Tawny Eagle,Aquila rapax,taweag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vulnerable,Schedule-I,Appendix II,Appendix II,High,Strong Decline,Strong Decline,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland and Scrub,Resident,,,Tawny Eagle,Aquila rapax
Steppe Eagle,Aquila nipalensis,steeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Endangered,Schedule-I,Appendix II,Appendix I,High,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Winter Migrant,,,Steppe Eagle,Aquila nipalensis
Imperial Eagle,Aquila heliaca,impeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vulnerable,Schedule-I,Appendix I,Appendix I,Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland,Winter Migrant,,,Eastern Imperial Eagle,Aquila heliaca
Golden Eagle,Aquila chrysaetos,goleag,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Altitudinal Migrant,,,Golden Eagle,Aquila chrysaetos
Bonelli's Eagle,Aquila fasciata,boneag2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Bonelli's Eagle,Aquila fasciata
White-eyed Buzzard,Butastur teesa,whebuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Stable,Strong Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Winter Migrant,,,White-eyed Buzzard,Butastur teesa
Rufous-winged Buzzard,Butastur liventer,ruwbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,,1,Rufous-winged Buzzard,Butastur liventer
Gray-faced Buzzard,Butastur indicus,gyfbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,,1,Grey-faced Buzzard,Butastur indicus
Eurasian Marsh-Harrier,Circus aeruginosus,wemhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Winter Migrant,,,Western Marsh Harrier,Circus aeruginosus
Eastern Marsh-Harrier,Circus spilonotus,easmah1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Winter Migrant,,,Eastern Marsh Harrier,Circus spilonotus
Hen Harrier,Circus cyaneus,norhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland,Winter Migrant,,,Hen Harrier,Circus cyaneus
Pallid Harrier,Circus macrourus,palhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-I,Appendix II,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland,Winter Migrant,,,Pallid Harrier,Circus macrourus
Pied Harrier,Circus melanoleucos,piehar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Open Habitat,Winter Migrant,,,Pied Harrier,Circus melanoleucos
Montagu's Harrier,Circus pygargus,monhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland,Winter Migrant,,,Montagu's Harrier,Circus pygargus
Crested Goshawk,Accipiter trivirgatus,cregos1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,,,Crested Goshawk,Accipiter trivirgatus
Shikra,Accipiter badius,shikra1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Shikra,Accipiter badius
Nicobar Sparrowhawk,Accipiter butleri,nicspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Vulnerable,Schedule-I,Appendix II,Appendix II,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Vertebrate & Carrion,Yes,Yes,No,Nicobar Islands,Tropical Forest,Resident,,,Nicobar Sparrowhawk,Accipiter butleri
Chinese Sparrowhawk,Accipiter soloensis,grfhaw1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Winter Migrant,,,Chinese Sparrowhawk,Accipiter soloensis
Japanese Sparrowhawk,Accipiter gularis,japspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Winter Migrant,,,Japanese Sparrowhawk,Accipiter gularis
Besra,Accipiter virgatus,besra1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,,,Besra,Accipiter virgatus
Eurasian Sparrowhawk,Accipiter nisus,eurspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Local Migrant,,,Eurasian Sparrowhawk,Accipiter nisus
Northern Goshawk,Accipiter gentilis,norgos,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Temperate Forest,Resident & Winter Migrant,,,Northern Goshawk,Accipiter gentilis
Red Kite,Milvus milvus,redkit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,,1,Red Kite,Milvus milvus
Black Kite,Milvus migrans,blakit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Winter Migrant,,,Black Kite,Milvus migrans
Brahminy Kite,Haliastur indus,brakit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,,,Brahminy Kite,Haliastur indus
White-tailed Eagle,Haliaeetus albicilla,whteag,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix I,Appendix I,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant,,,White-tailed Sea Eagle,Haliaeetus albicilla
Pallas's Fish-Eagle,Haliaeetus leucoryphus,pafeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Endangered,Schedule-I,Appendix II,Appendix I,High,Uncertain,Uncertain,Very Restricted,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant,1,,Pallas's Fish Eagle,Haliaeetus leucoryphus
White-bellied Sea-Eagle,Haliaeetus leucogaster,wbseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,1,,White-bellied Sea Eagle,Haliaeetus leucogaster
Lesser Fish-Eagle,Haliaeetus humilis,lefeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-I,Appendix II,Appendix II,Moderate,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,1,,Lesser Fish Eagle,Haliaeetus humilis
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,gyhfie1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Near Threatened,Schedule-I,Appendix II,Appendix II,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,,,Grey-headed Fish Eagle,Haliaeetus ichthyaetus
Rough-legged Hawk,Buteo lagopus,rolhaw,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Uncertain,,1,Rough-legged Buzzard,Buteo lagopus
Common Buzzard,Buteo buteo,combuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Grassland,Winter Migrant,,,Common Buzzard,Buteo buteo
Himalayan Buzzard,Buteo refectus,combuz9,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Winter Migrant,,,Himalayan Buzzard,Buteo refectus
Long-legged Buzzard,Buteo rufinus,lolbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Winter Migrant,,,Long-legged Buzzard,Buteo rufinus
Upland Buzzard,Buteo hemilasius,uplbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Least Concern,Schedule-I,Appendix II,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident & Altitudinal Migrant,,,Upland Buzzard,Buteo hemilasius
Australasian Grass-Owl,Tyto longimembris,ausgro1,Strigiformes,Tytonidae (Barn-Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Grassland,Resident,,,Eastern Grass Owl,Tyto longimembris
Barn Owl,Tyto alba,brnowl,Strigiformes,Tytonidae (Barn-Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Common Barn Owl,Tyto alba
Andaman Masked-Owl,Tyto deroepstorffi,barowl5,Strigiformes,Tytonidae (Barn-Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,Yes,Yes,No,Andaman Islands,None,Resident,,,Andaman Barn Owl,Tyto deroepstorffi
Oriental Bay-Owl,Phodilus badius,orbowl1,Strigiformes,Tytonidae (Barn-Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,1,,Oriental Bay Owl,Phodilus badius
Sri Lanka Bay-Owl,Phodilus assimilis,srlbao1,Strigiformes,Tytonidae (Barn-Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Western Ghats & Sri Lanka,Tropical Forest,Resident,,,Sri Lanka Bay Owl,Phodilus assimilis
Andaman Scops-Owl,Otus balli,ansowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Tropical Forest,Resident,,,Andaman Scops Owl,Otus balli
Mountain Scops-Owl,Otus spilocephalus,mosowl2,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Mountain Scops Owl,Otus spilocephalus
Indian Scops-Owl,Otus bakkamoena,insowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,,,Indian Scops Owl,Otus bakkamoena
Collared Scops-Owl,Otus lettia,cosowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,,,Collared Scops Owl,Otus lettia
Nicobar Scops-Owl,Otus alius,nicsco1,Strigiformes,Strigidae (Owls),Near Threatened,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Omnivore,Yes,Yes,No,Nicobar Islands,Tropical Forest,Resident,,,Nicobar Scops Owl,Otus alius
Eurasian Scops-Owl,Otus scops,eursco1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,1,Eurasian Scops Owl,Otus scops
Pallid Scops-Owl,Otus brucei,pasowl3,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,Wooded Habitat,Winter Migrant,,,Pallid Scops Owl,Otus brucei
Oriental Scops-Owl,Otus sunia,orsowl,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,,,Oriental Scops Owl,Otus sunia
Eurasian Eagle-Owl,Bubo bubo,eueowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Eurasian Eagle Owl,Bubo bubo
Rock Eagle-Owl,Bubo bengalensis,roeowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Indian Subcontinent,None,Resident,,,Indian Eagle Owl,Bubo bengalensis
Spot-bellied Eagle-Owl,Bubo nipalensis,sbeowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Forest,Resident,,,Spot-bellied Eagle Owl,Bubo nipalensis
Dusky Eagle-Owl,Bubo coromandus,dueowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,Moderate,Data Deficient,Data Deficient,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Dusky Eagle Owl,Bubo coromandus
Brown Fish-Owl,Ketupa zeylonensis,brfowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,Low,Stable,Moderate Decline,Large,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Brown Fish Owl,Ketupa zeylonensis
Tawny Fish-Owl,Ketupa flavipes,tafowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,,Tawny Fish Owl,Ketupa flavipes
Buffy Fish-Owl,Ketupa ketupu,bufowl2,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,1,Buffy Fish Owl,Ketupa ketupu
