eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Northern Shoveler,Spatula clypeata,norsho,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Stable,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera,gadwal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Gadwall,Mareca strepera
Falcated Duck,Mareca falcata,falduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Near Threatened,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Falcated Duck,Mareca falcata
Eurasian Wigeon,Mareca penelope,eurwig,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Eurasian Wigeon,Mareca penelope
Indian Spot-billed Duck,Anas poecilorhyncha,isbduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,,,Indian Spot-billed Duck,Anas poecilorhyncha
Eastern Spot-billed Duck,Anas zonorhyncha,spbduc,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Uncertain,,1,Eastern Spot-billed Duck,Anas zonorhyncha
Mallard,Anas platyrhynchos,mallar3,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Mallard,Anas platyrhynchos
Northern Pintail,Anas acuta,norpin,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Northern Pintail,Anas acuta
Green-winged Teal,Anas crecca,gnwtea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Least Concern,Schedule-IV,,Appendix II,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,,,Common Teal,Anas crecca
Andaman Teal,Anas albogularis,andtea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vulnerable,Schedule-I,,Appendix II,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,Yes,Yes,No,Andaman Islands,Wetland,Resident,,,Andaman Teal,Anas albogularis
Marbled Teal,Marmaronetta angustirostris,martea1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Vulnerable,Schedule-IV,,Appendix I,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Winter Migrant,1,,Marbled Teal,Marmaronetta angustirostris
Pink-headed Duck,Rhodonessa caryophyllacea,pihduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Critically Endangered,Schedule-I,Appendix I,Appendix II,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Wetland,Uncertain,,,Pink-headed Duck,Rhodonessa caryophyllacea
White-winged Duck,Asarcornis scutulata,whwduc1,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Endangered,Schedule-I,Appendix I,Appendix II,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Resident,1,,White-winged Wood Duck,Asarcornis scutulata
